gameid,top_blue,jng_blue,mid_blue,bot_blue,sup_blue,top_red,jng_red,mid_red,bot_red,sup_red,result
LOLTMNT06_163223,Rumble,Xin Zhao,Orianna,Kai'Sa,Rakan,K'Sante,Wukong,Azir,Ezreal,Bard,1
LOLTMNT03_336773,Sion,Jayce,Zoe,Varus,Bard,Rumble,Ambessa,Galio,Jhin,Alistar,1
LOLTMNT06_164218,Rumble,Wukong,Orianna,Corki,Rell,K'Sante,Qiyana,Azir,Yunara,Rakan,0
LOLTMNT03_337829,Rumble,Lee Sin,Orianna,Kai'Sa,Rakan,K'Sante,Jayce,Viktor,Yunara,Alistar,0
LOLTMNT06_164234,Ambessa,Jayce,Viktor,Yunara,Alistar,Aatrox,Pantheon,Taliyah,Corki,Rakan,0
LOLTMNT03_337841,Rumble,Vi,Taliyah,Ezreal,Leona,Ambessa,Jarvan IV,Ryze,Miss Fortune,Rakan,1
LOLTMNT06_163258,Sion,Xin Zhao,Azir,Ezreal,Bard,Aatrox,Vi,Taliyah,Varus,Nautilus,1
LOLTMNT03_337847,K'Sante,Wukong,Ryze,Yunara,Bard,Zaahen,Ambessa,Syndra,Varus,Alistar,0
LOLTMNT06_163282,Gnar,Wukong,Azir,Corki,Alistar,K'Sante,Jayce,Taliyah,Yunara,Lulu,0
LOLTMNT01_322090,Ambessa,Malphite,Aurora,Yunara,Zaahen,K'Sante,Sylas,Taliyah,Aphelios,Thresh,0
LOLTMNT01_320998,Jax,Dr. Mundo,LeBlanc,Varus,Nautilus,Renekton,Wukong,Akali,Corki,Rakan,1
LOLTMNT03_336834,Sion,Aatrox,Azir,Aphelios,Lulu,Zaahen,Pantheon,Orianna,Corki,Neeko,0
LOLTMNT01_321000,Sion,Xin Zhao,Viktor,Lucian,Braum,Rumble,Vi,Ahri,Zeri,Bard,1
LOLTMNT03_336842,Gwen,Jarvan IV,Taliyah,Yunara,Nautilus,Ambessa,Xin Zhao,Ryze,Varus,Braum,1
13069-13069_game_1,Renekton,Pantheon,Orianna,Varus,Braum,Ornn,Ambessa,Akali,Jhin,Rell,1
LOLTMNT01_322115,K'Sante,Lee Sin,Ryze,Varus,Renata Glasc,Olaf,Wukong,Akali,Yunara,Rakan,0
13069-13069_game_2,Sion,Qiyana,Ziggs,Sivir,Alistar,Mordekaiser,Trundle,Azir,Miss Fortune,Poppy,1
LOLTMNT03_337890,Zaahen,Nocturne,Azir,Aphelios,Thresh,Jax,Xin Zhao,Orianna,Yunara,Bard,1
LOLTMNT01_322119,Ornn,Jarvan IV,Ahri,Kai'Sa,Neeko,Rumble,Sejuani,Yone,Aphelios,Thresh,1
LOLTMNT03_337894,Gnar,Sylas,Ryze,Kai'Sa,Neeko,Renekton,Ambessa,Taliyah,Corki,Alistar,0
13070-13070_game_1,K'Sante,Vi,Taliyah,Aphelios,Nautilus,Rumble,Qiyana,Azir,Yunara,Alistar,1
LOLTMNT03_336867,Gragas,Vi,Syndra,Lucian,Braum,Gwen,Jarvan IV,Aurora,Kalista,Renata Glasc,0
13070-13070_game_2,Gwen,Xin Zhao,Anivia,Sivir,Bard,Sion,Poppy,Ryze,Varus,Karma,0
13070-13070_game_3,Rek'Sai,Wukong,Ahri,Kalista,Renata Glasc,Zaahen,Jarvan IV,Viktor,Miss Fortune,Rakan,0
LOLTMNT06_163306,Rumble,Pantheon,Azir,Smolder,Nautilus,K'Sante,Wukong,Ryze,Corki,Rell,0
LOLTMNT03_337955,Aatrox,Wukong,Orianna,Yunara,Leona,Ambessa,Jarvan IV,Azir,Aphelios,Alistar,0
LOLTMNT03_337968,Zaahen,Xin Zhao,Orianna,Ezreal,Leona,Jax,Wukong,Akali,Varus,Rakan,0
LOLTMNT06_163319,Volibear,Jarvan IV,Ryze,Corki,Nami,Zaahen,Wukong,Orianna,Yunara,Alistar,0
LOLTMNT03_336925,Ambessa,Xin Zhao,Ahri,Corki,Leona,Rumble,Qiyana,Taliyah,Varus,Alistar,0
LOLTMNT06_164300,Renekton,Xin Zhao,Azir,Corki,Nautilus,K'Sante,Ambessa,Taliyah,Yunara,Alistar,0
LOLTMNT03_337985,Sion,Jarvan IV,Syndra,Sivir,Rell,Poppy,Jayce,Ryze,Varus,Neeko,1
LOLTMNT06_163332,Renekton,Wukong,Taliyah,Yunara,Alistar,Kennen,Vi,Ryze,Varus,Nautilus,0
LOLTMNT03_337997,Renekton,Pantheon,Taliyah,Ezreal,Rell,Gnar,Wukong,Aurora,Varus,Rakan,0
LOLTMNT06_164317,K'Sante,Xin Zhao,Anivia,Yunara,Rell,Ambessa,Jarvan IV,Ryze,Varus,Bard,0
LOLTMNT06_164335,Rumble,Xin Zhao,Taliyah,Caitlyn,Karma,Sion,Jarvan IV,Azir,Yunara,Bard,0
LOLTMNT03_338031,Ambessa,Jarvan IV,Azir,Varus,Leona,K'Sante,Vi,Orianna,Yunara,Nautilus,1
LOLTMNT03_336978,Sion,Wukong,Ryze,Miss Fortune,Rell,Gwen,Xin Zhao,Taliyah,Aphelios,Lulu,0
LOLTMNT03_338076,Rumble,Trundle,Akali,Zeri,Yuumi,Aatrox,Zac,Galio,Sivir,Alistar,1
13071-13071_game_1,Yorick,Trundle,Sylas,Varus,Braum,Ambessa,Malphite,Azir,Miss Fortune,Nautilus,1
13071-13071_game_2,Sion,Wukong,Ryze,Corki,Nami,Renekton,Vi,Taliyah,Yunara,Alistar,1
LOLTMNT03_339012,Ambessa,Jarvan IV,Taliyah,Sivir,Alistar,K'Sante,Jayce,Azir,Ezreal,Karma,0
LOLTMNT03_338108,Gnar,Dr. Mundo,Ahri,Varus,Neeko,Yorick,Nocturne,Aurora,Corki,LeBlanc,1
13072-13072_game_1,K'Sante,Wukong,Syndra,Jhin,Leona,Renekton,Poppy,Azir,Varus,Nautilus,0
LOLTMNT03_339029,Ambessa,Vi,Taliyah,Varus,Nautilus,Sion,Jarvan IV,Syndra,Ezreal,Leona,0
13072-13072_game_2,Rumble,Pantheon,Yone,Corki,Rell,Ambessa,Jarvan IV,Ryze,Kai'Sa,Alistar,0
LOLTMNT03_338124,K'Sante,Malphite,Sylas,Yunara,Rakan,Aatrox,Dr. Mundo,Orianna,Corki,Rell,1
13072-13072_game_3,Zaahen,Qiyana,Aurora,Yunara,Bard,Kennen,Vi,Ahri,Aphelios,Rakan,0
13073-13073_game_1,Ornn,Jarvan IV,Aurelion Sol,Aphelios,Lulu,Renekton,Xin Zhao,Azir,Yunara,Bard,0
13073-13073_game_2,Zaahen,Dr. Mundo,Ryze,Sivir,Alistar,Ambessa,Malphite,Cassiopeia,Kai'Sa,Rakan,0
13073-13073_game_3,K'Sante,Wukong,Taliyah,Ashe,Renata Glasc,Poppy,Vi,Ahri,Miss Fortune,Leona,0
LOLTMNT06_163405,K'Sante,Ambessa,Akali,Varus,Rakan,Rumble,Jarvan IV,Azir,Corki,Alistar,0
LOLTMNT06_164420,Aatrox,Pantheon,Ryze,Aphelios,Bard,Renekton,Wukong,Azir,Xayah,Rakan,0
